Unnamed: 0,Content ID,Unnamed: 2,Type,Datetime,Category,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,,disgust,2020-07-11 09:43:00,Studying,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,,disgust,2021-06-01 19:13:00,Studying,negative,0
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,,peeking,2020-07-12 06:27:00,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,,cherish,2021-11-04 17:35:00,Studying,positive,70
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,,peeking,2021-01-04 22:54:00,Studying,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,,love,2020-04-08 05:05:00,Studying,positive,65
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,,indifferent,2020-07-11 08:36:00,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,,scared,2020-02-11 06:28:00,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,,interested,2020-01-11 01:16:00,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,,hate,2020-07-10 18:39:00,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,,scared,2020-03-09 18:51:00,Studying,negative,15
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,,worried,2021-11-04 20:47:00,Studying,negative,12
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,,heart,2021-11-04 14:29:00,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,,worried,2021-02-03 19:21:00,Studying,negative,12
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,,hate,2021-09-05 21:05:00,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,,cherish,2020-04-08 23:58:00,Studying,positive,70
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,,interested,2021-07-03 12:40:00,Studying,positive,30
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,,disgust,2021-09-04 02:46:00,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,,super love,2021-02-02 03:43:00,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,,interested,2021-04-02 03:06:00,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,,dislike,2020-09-11 02:49:00,Studying,negative,10
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,,worried,2021-10-05 09:27:00,Studying,negative,12
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,scared,2021-11-02 04:53:00,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,hate,2021-08-03 10:40:00,healthy eating,negative,5
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,love,2021-05-05 16:26:00,healthy eating,positive,65
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,indifferent,2020-07-07 10:52:00,healthy eating,neutral,20
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,,hate,2020-07-12 19:13:00,healthy eating,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,,super love,2020-03-08 16:41:00,healthy eating,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,,adore,2021-10-01 15:36:00,healthy eating,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,,interested,2021-06-06 01:27:00,healthy eating,positive,30
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,,like,2021-05-06 18:00:00,healthy eating,positive,50
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,,interested,2021-09-05 02:42:00,healthy eating,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,,dislike,2021-11-05 08:38:00,healthy eating,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,,peeking,2020-12-11 08:00:00,healthy eating,neutral,35
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,,super love,2021-04-03 23:58:00,healthy eating,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,,want,2020-09-07 16:47:00,healthy eating,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,,hate,2020-01-08 19:16:00,healthy eating,negative,5
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,,scared,2020-11-12 14:08:00,healthy eating,negative,15
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,,interested,2021-09-06 10:13:00,healthy eating,positive,30
